,"cln3-1","cln3-2","clb2-2","clb2-1","alpha0","alpha7","alpha14","alpha21","alpha28","alpha35","alpha42","alpha49","alpha56","alpha63","alpha70","alpha77","alpha84","alpha91","alpha98","alpha105","alpha112","alpha119","cdc15_10","cdc15_30","cdc15_50","cdc15_70","cdc15_80","cdc15_90","cdc15_100","cdc15_110","cdc15_120","cdc15_130","cdc15_140","cdc15_150","cdc15_160","cdc15_170","cdc15_180","cdc15_190","cdc15_200","cdc15_210","cdc15_220","cdc15_230","cdc15_240","cdc15_250","cdc15_270","cdc15_290","cdc28_0","cdc28_10","cdc28_20","cdc28_30","cdc28_40","cdc28_50","cdc28_60","cdc28_70","cdc28_80","cdc28_90","cdc28_100","cdc28_110","cdc28_120","cdc28_130","cdc28_140","cdc28_150","cdc28_160","elu0","elu30","elu60","elu90","elu120","elu150","elu180","elu210","elu240","elu270","elu300","elu330","elu360","elu390"
"YDL055C",1.52,1.76,-1.25,-1.51,-0.73,-1.06,-0.79,-0.02,0.16,0.44,0.03,0.11,-0.2,-1.26,-0.37,0.03,0.67,0.68,0.87,0.95,0.45,0.05,-2.35,-0.38,0.91,0.56,0.83,-0.04,-0.42,-1.54,-1.42,-0.65,0.4,1.2,1.27,1.16,1.02,0.82,-0.18,0,0.04,-0.72,-1.31,-0.18,0.36,0.61,-0.88,-0.14,0.57,0.21,-0.11,-0.34,0.3,-0.55,-0.75,0.26,0.43,,-0.18,0.18,0.74,0.43,-0.18,-0.74,-1.09,-1.27,-0.71,-0.2,0.64,0.59,0.62,0.16,0.35,0.47,0.27,0.44,0.46
"YDL056W",-0.58,-0.2,-0.36,-0.56,-0.39,-0.21,-0.46,-0.31,-0.07,0.16,-0.29,0.01,0.22,0.43,0.56,-0.16,-0.33,0.09,0.12,0.49,0.07,0.07,-0.81,-0.81,-0.63,-0.07,1.13,-0.53,0.65,-1.02,0.84,-0.5,0.68,-0.81,0.52,0.28,0.78,-0.24,0.66,0,0.84,1.13,1.27,-0.6,-1.12,-1.63,-0.16,-0.3,-0.33,0.08,0.32,0.27,0.27,0.03,-0.01,-0.54,-0.24,-0.15,0.33,,0.27,0.23,-0.08,0.01,0.48,0.23,-0.25,-0.38,0.05,0,0.12,0.06,0,-0.18,-0.22,0.14,-0.03
"YDL057W",-0.45,-0.27,-0.09,-0.69,-0.13,,-0.03,-0.03,-0.41,0.14,-0.43,0.2,0.28,-0.11,0.12,0.01,0.06,-0.05,0.17,0.28,0.06,-0.11,0.17,0.09,0.11,-0.65,-0.14,-0.55,0.18,-0.14,0.24,-0.36,0.08,0.05,0.08,-0.32,0.66,-0.2,-0.6,-0.16,0.57,0.34,0.09,0.14,0.06,0.27,1.31,-0.19,-0.43,-0.01,-0.05,-0.28,-0.56,-0.19,-0.24,-0.09,0.24,0.38,0.16,-0.54,-0.01,0.24,0.26,0.38,0.19,0.37,0.17,-0.18,-0.15,-0.04,-0.1,-0.06,-0.38,-0.03,-0.29,-0.15,0.26
"YDL058W",0.32,-0.4,-0.18,-0.25,0.04,-0.55,-0.1,0.04,-0.1,-0.15,-0.1,0.43,-0.15,0.19,0.33,-0.04,-0.11,-0.11,0.15,0.47,-0.38,0.13,-0.93,0.03,0.75,0.12,-0.14,-0.14,-0.3,-0.24,-0.05,0.07,0.19,0.22,0.05,0.22,-0.13,0.02,0.24,-0.28,0.42,0.43,0.03,0.12,-0.28,-0.39,-0.16,-0.68,-0.28,-0.11,0.63,0.26,0.13,0.24,0.1,0,0.13,0.18,0.14,,-0.11,-0.59,0.12,-0.21,-0.12,-0.04,0.12,-0.02,-0.04,0.1,-0.07,0.06,-0.04,-0.05,0.2,0.09,0.04
"YDL059C",-0.12,0.29,-0.25,-0.79,0.01,-0.24,-0.05,-0.06,-0.24,0.01,-0.02,0.35,0.26,-0.21,0.27,-0.09,-0.13,-0.06,0.09,0.34,-0.28,0.04,-0.33,-0.18,0.15,-0.24,-0.13,-0.49,-0.07,-0.22,0.26,-0.25,0.04,0.13,-0.22,-0.07,0.78,0.04,-0.4,0.06,0.26,0.31,0.09,0.13,0.01,0.33,0.48,-0.34,-0.41,0.27,0.73,0.27,-0.64,-0.28,-0.29,-0.19,-0.09,0.07,0.24,,-0.03,-0.15,0.37,-0.36,0.35,0.03,0.01,-0.04,0.01,0.08,0.16,-0.04,-0.04,0.08,-0.07,-0.17,-0.02
"YDL060W",-0.56,-0.18,-0.6,-0.07,0.02,-0.8,-0.61,-0.39,0.18,0.06,-0.3,0.2,0.36,0.42,0.65,0.02,-0.01,-0.16,-0.13,0.26,0.12,0.12,1.11,0.91,0.5,0.28,0.13,0.27,0.03,-0.01,-0.52,0.1,-0.14,-0.19,-0.12,-0.03,-0.52,0.48,-0.8,-0.08,-0.46,0.67,-0.7,-0.14,-0.46,-0.31,-0.3,0.16,0.45,0.16,0.23,-0.01,0.21,0.13,-0.06,-0.01,-0.14,-0.02,-0.32,0.04,,-0.54,0.02,-1.59,0.45,0.34,0.3,0.43,0.67,0.22,0.22,-0.21,0.28,-0.05,-0.49,-0.67,0.1
"YDL061C",-0.86,-0.42,0.32,0.07,-0.2,-0.27,-0.13,0.03,-0.16,-0.12,-0.33,-0.16,0.41,-0.24,0.45,-0.15,,-0.01,0.32,0.36,0.12,0.07,-0.92,-0.73,-0.43,-0.12,0.81,0.07,0.69,0.07,1.03,-0.04,0.37,0.26,0.32,-0.31,0.16,-0.19,-0.23,0.03,0.74,-0.1,-0.36,-0.46,-0.71,0.06,-0.13,-0.13,0.35,0.26,0.33,-0.47,0.19,-0.09,-0.25,,-2.75,0.4,-0.19,0.55,0.89,0.55,0.5,-1.22,-0.14,0.4,0.04,-0.04,0.4,0.55,0.28,-0.06,0.32,0.24,0.06,-0.52,-0.32
"YDL062W",-1.6,-0.62,-0.27,0.28,0.38,,-0.61,-0.22,0.33,-0.12,0.29,0.12,0.15,0.39,-0.22,0.07,-0.11,-0.24,-0.22,-0.12,-0.09,0.19,0.94,0.78,0.47,0.28,0.31,0.01,0.17,-0.01,0.01,-0.05,-0.07,-0.2,-0.15,-0.41,0.01,0.27,0.64,-0.09,-0.09,-0.05,-0.63,-0.46,-0.75,-0.92,-0.03,0.54,0.17,0.29,0.12,0.17,0.53,0.7,0.33,-1.18,-0.26,-0.14,0.47,-0.18,-0.22,-0.49,-0.83,-0.52,-0.18,0.08,0.32,0.87,0.66,0.19,-0.14,-0.63,0.39,0.21,-0.52,-0.6,-0.12
"YDL063C",-0.86,-0.18,-0.34,0.01,0.51,-0.97,-0.82,-0.44,0.25,-0.18,0.49,0.36,0.41,0.08,0.11,-0.04,0.28,0.14,-0.12,-0.02,-0.05,0.03,0.91,0.74,0.48,0.4,0.17,0.18,0.37,0.37,-0.17,0.21,-0.47,-0.08,-1.01,-0.1,-0.37,0.54,-0.39,0.24,0.18,-0.06,-0.8,-0.3,-0.62,-0.41,-0.37,0.52,-0.25,0.09,0.16,0.16,0.27,0.66,0.45,-0.6,-0.26,-0.16,0.06,-0.06,,-0.23,-0.43,-1.15,0.16,-0.01,0.64,0.98,0.68,0.34,-0.15,-0.19,0.53,0.21,-0.77,-0.99,-0.29
"YDL064W",-0.09,0.26,-0.32,0.36,-0.07,-0.59,-0.22,-0.09,0.19,0.17,0.47,-0.05,0.17,0.2,-0.18,-0.03,0,-0.22,0.13,-0.05,0.19,-0.03,0.25,0.38,0.54,0.63,0.17,0.44,-0.38,0.05,-0.71,-0.05,-0.36,0.13,-0.34,0.07,-0.05,0.53,-0.11,0.34,-0.44,-0.49,-0.87,0.05,-0.1,0.31,-0.49,0.22,0.01,0.2,0.21,0.07,0.17,0.24,-0.12,0.03,-0.17,-0.23,-0.2,,0.2,0.14,-0.29,-0.27,-0.27,0.02,-0.4,0.16,0.29,0.11,0.24,0.09,0.27,0.16,-0.17,-0.25,0.01
"YDL065C",-0.17,0.06,-0.49,-1.06,0.03,-0.26,,0.11,-0.11,-0.01,0.34,0.02,0.12,-0.07,0.19,-0.11,,-0.12,0.09,-0.04,-0.09,-0.09,-0.55,-0.18,0.16,0.19,0.22,0.1,0.08,0.43,-0.13,0.31,-0.36,0.11,-0.96,0.1,-0.53,0.08,-0.26,0.05,0.3,0.05,0.11,0.2,0.16,0.3,-0.4,-0.2,0.26,0,-0.18,0.03,0.07,0.07,-0.25,0.14,0.13,-0.01,0.12,0.06,,0.09,0.06,-0.12,0.14,-0.28,-0.2,-0.01,-0.18,-0.14,-0.01,0.35,0.28,-0.03,0.19,0.09,-0.08
"YDL066W",-0.56,-0.07,-0.25,0.45,-0.14,-0.06,0.11,0.28,0.26,0.23,0.37,0.17,0.02,0.19,-0.05,0.07,-0.2,-0.53,-0.14,-0.26,-0.19,-0.13,-0.39,-0.54,-0.31,0.28,-0.25,0.48,-0.54,0.44,-0.33,0.44,-0.18,0.35,-0.2,0.27,-0.29,0.26,-0.06,0.37,-0.16,-0.31,-0.22,0.24,0.15,0.48,-0.58,-0.13,-0.03,-0.33,-0.4,-0.32,-0.08,-0.18,-0.17,0.67,0.26,0.05,0.06,,0.34,0.6,0.24,-0.66,-0.34,0.19,0.07,0.11,-0.01,-0.07,0.17,0.09,0.26,0.03,-0.01,0.05,0.1
"YDL067C",-0.23,-0.64,-0.22,0.36,0.18,0.01,0.2,-0.04,0.21,-0.28,0.4,-0.23,0.14,-0.06,0.04,-0.17,0.22,-0.25,0.04,-0.25,0.1,-0.26,-0.88,-0.7,-0.23,-0.19,0.78,-0.11,0.62,0.37,0.66,0.12,0.19,0.11,-0.41,-0.7,-0.32,-0.18,0.05,0.22,0.8,-0.29,0.02,0.03,-0.18,0.23,-1.23,-0.25,0.02,-0.31,-0.57,-0.04,0.19,-0.31,-0.15,1.18,0.21,0.04,-0.33,,0.41,0.58,0.58,0.34,0.11,0.11,-0.32,-0.08,-0.21,-0.16,-0.01,,0.22,-0.03,0.15,-0.01,-0.1
"YDL068W",-0.71,-0.54,0.14,-0.1,-0.2,0.18,0.3,0.11,0.14,-0.08,0.19,-0.05,0,0.25,-0.12,0.21,-0.13,-0.22,-0.17,-0.36,0.03,-0.07,-0.46,-0.03,0.26,0.09,0.02,0.07,-0.22,0.02,-0.01,-0.26,0,,0.02,-0.46,0.04,0.27,0.15,-0.01,-0.03,0.21,0.1,0.09,-0.07,0.18,-0.37,-0.27,-0.51,-0.15,0.14,0.44,0.3,0.18,0.02,-0.15,-0.51,-0.02,0.06,0.3,0.35,0.28,-0.06,0.45,-0.04,0.08,-0.12,-0.04,-0.08,-0.06,0,0.22,-0.02,0,-0.16,-0.2,-0.02
"YDL069C",-0.14,-0.49,-0.51,-0.15,0.07,0.57,0.17,-0.26,0.22,-0.26,0.14,0.03,0.07,-0.13,-0.17,-0.01,0.1,-0.48,-0.15,-0.07,-0.13,0.26,-0.03,0.18,0.37,-0.02,-0.16,-0.37,-0.22,0.14,-0.46,0.14,-0.65,0.16,-1.02,0,0.21,0.26,0.29,0.36,0.35,-0.02,-0.24,0.32,-0.02,0.42,0.51,-0.66,-0.43,-0.03,0.4,0.01,0.08,0.03,0.19,-0.2,-0.17,0.24,0.12,,0.17,-0.35,0.1,0.3,-0.07,0.05,-0.31,0.07,-0.16,-0.12,0.03,0.11,0.13,0.05,0.23,-0.29,-0.03
"YDL070W",0.2,0.7,-0.86,-0.18,-0.32,-0.61,0.05,-0.1,0.24,0,0.5,-0.17,0.07,0.05,-0.13,-0.06,-0.15,-0.13,0.22,0.32,0.12,0.12,0.56,0.03,0.45,0.53,-0.49,0.31,-0.78,0.01,-1.1,0.14,-0.58,0.07,-0.32,0.27,-0.52,1.02,-0.17,0.54,-0.71,0.11,-0.89,0.72,0.31,0.53,-0.32,-1,0.01,0.16,0.51,-0.11,0.06,0.01,-0.19,0.36,0.08,0.27,-0.04,-0.09,,-0.3,0.59,0.28,-0.14,-0.24,-0.38,-0.19,-0.03,-0.38,0.22,0.26,0.31,0.07,0.11,0.11,-0.02
"YDL071C",-0.22,-0.69,-0.3,-0.27,0.03,0.32,0,,0.35,-0.1,0.28,-0.04,-0.09,0.01,-0.31,-0.14,0.18,-0.12,-0.07,0,-0.17,-0.12,0.36,-0.01,0.61,-0.28,-0.09,-0.64,0.26,-0.24,0.11,-0.03,0.01,-0.05,-0.53,-0.11,-0.26,0.18,0.33,-0.17,0.26,0.16,0.31,0.11,-0.26,-0.05,-0.02,-0.11,-0.79,0.64,0.62,0.06,-0.11,0.06,0.06,,-0.07,0.17,0.17,-0.11,-0.16,-0.16,-0.25,0.05,-0.01,0.01,-0.53,-0.06,-0.01,-0.16,0.14,0.31,0.18,-0.14,0.08,0.05,0.08
"YDL072C",-0.23,0.06,-0.67,0.2,0.44,0.57,0.54,0.14,0.28,-0.12,0.39,-0.3,-0.08,-0.1,-0.24,-0.3,-0.03,-0.61,0.06,-0.26,-0.1,-0.28,-0.89,-1.17,-0.26,0.27,0.06,0.05,-0.64,-0.18,0.08,0.08,0.14,0.35,0.57,-0.06,0.19,-0.03,0.46,0.05,0.31,-0.62,0.31,0.27,0.29,0.39,0.07,-0.96,-0.84,-0.27,0.08,-0.25,-0.08,-0.01,-0.28,0.62,0.38,0.37,,0.31,0.16,0.28,0.41,0.88,0.04,0.04,-0.53,-0.64,-0.57,-0.53,0.08,0.19,-0.06,0.04,0.26,0.42,0.38
"YDL073W",-0.18,-0.22,-0.34,-0.27,0.19,-0.22,-0.17,,0.15,-0.09,0.31,0.1,0.07,-0.21,0.1,-0.24,0.04,0.07,-0.05,0.08,0,-0.12,-0.11,-0.28,-0.03,0.12,0.7,-0.33,0.37,-0.04,0.11,-0.19,-0.28,-0.04,-0.33,-0.21,0.26,-0.01,0.32,-0.13,0.65,0.27,0.24,-0.21,-0.56,-0.28,-0.39,-0.29,-0.29,0.1,0.15,0.16,0.16,0.33,0.15,0.24,-0.11,0.06,0.09,-0.15,,-0.43,0.24,-0.55,0.08,0.1,0.01,0.26,0.15,-0.04,-0.08,0.1,0.21,0.15,-0.01,-0.26,-0.12
"YDL074C",-0.04,-0.49,-0.36,0.19,-0.36,-0.48,-0.36,-0.28,-0.18,0.41,0.16,0.02,-0.01,0.32,-0.3,0.04,0.1,0,-0.26,0.4,0.51,0.25,0.49,0.3,0.27,0.46,-0.66,0.18,-0.05,-0.09,-0.43,-0.03,-0.41,-0.05,0.12,0.53,0.23,0.31,0.06,0.1,0.04,0.15,-0.15,0.27,0.04,-1.66,-0.63,-0.22,-0.36,0.18,0.37,0.09,-0.07,0.25,0.03,-0.22,-0.08,-0.07,0.07,0.25,,0.25,0.14,0.44,-0.16,0.06,0.22,0.23,0.27,0.46,-0.09,-0.26,-0.05,-0.02,-0.34,-0.37,-0.39
"YDL075W",-0.79,-0.43,0.3,0,-0.1,-0.27,-0.17,0,-0.4,-0.11,-0.45,-0.03,0.47,-0.11,0.43,-0.1,0.05,-0.09,0.2,0.47,0.06,0.15,-0.57,,0.57,,,,,,,,,,,,,,,,,,,,,,-0.2,0.19,0.19,0.22,0.41,-0.6,-0.12,-0.09,-0.49,-1.75,0.61,0.17,-0.45,0.28,0.69,0.49,0.44,-0.79,-0.09,0.33,0.36,0,0.47,0.39,0.22,-0.15,0.08,0.1,-0.23,-0.37,-0.31
"YDL076C",-0.3,-0.22,-0.45,0.15,-0.36,0.21,-0.34,-0.19,-0.34,0.36,-0.27,0.02,0.09,0.07,0.06,-0.17,-0.12,0.15,0.09,0.36,0.18,0.2,-0.02,-0.25,-0.02,0.08,0.48,-0.43,0.31,-0.32,-0.18,-0.51,0.03,-0.32,0.16,-0.05,0.29,0.17,0.11,-0.11,-0.06,0.51,0.08,0.09,-0.09,0.03,-0.33,0.28,-0.22,0.15,-0.16,0.09,0.27,0,-0.08,-0.51,-0.1,-0.05,0.22,0.22,,0.17,0.06,0.59,0.29,0.28,-0.02,-0.48,-0.12,0.02,-0.03,-0.27,-0.24,0.17,-0.02,-0.21,0.02
"YDL077C",0.38,-0.23,0,-0.3,-0.18,0.03,-0.1,0.07,-0.1,-0.07,0.09,-0.03,-0.01,0.04,0.32,0.15,-0.03,-0.35,-0.15,0.3,0.02,,-0.26,0.64,0.77,0.24,0.24,0.31,-0.41,-0.23,0.53,-4.12,0.39,0.33,0.17,0.28,-0.31,-0.03,0.53,0.03,0.61,0.85,0.59,-0.95,-0.01,-0.21,-0.15,-0.06,0.03,-0.14,-0.44,0.31,0.08,-0.18,0.14,0.61,0.29,0.01,0.11,-0.3,-0.29,,,0.22,-0.09,-0.04,0.5,0.21,-0.11,0.21,-0.04,-0.13,-0.08,0.08,-0.25,-0.34,-0.13
"YDL078C",-0.47,-0.45,-0.3,0.08,-0.17,0.31,0.1,0.31,-0.25,-0.04,-0.52,-0.23,-0.07,0.04,0.24,0.01,0.07,-0.23,-0.04,0.2,0.18,0.07,-0.27,-0.2,-0.23,-0.06,-0.06,-0.23,-0.33,-0.36,-0.64,-0.29,-0.03,0.14,0.04,0.16,0.26,0.3,-0.03,0.06,-0.22,0.64,-0.12,0.49,0.36,0.64,-0.3,0.33,0.18,-0.27,-0.62,-0.52,-0.07,-0.18,-0.15,-0.13,0.26,0.19,0.2,,0.27,0.5,0.31,0.27,0.38,-0.49,-0.35,-0.68,-0.48,-0.36,0.27,0.2,-0.06,-0.15,0.22,0.62,0.61
"YDL079C",0.89,0.04,0.75,0.76,-0.01,-0.02,0.18,0.22,-0.2,-0.04,-0.55,0.18,0.08,-0.17,0.39,0.01,-0.12,-0.2,-0.02,0.36,-0.2,0.11,-0.04,0,-0.26,-0.2,0.05,-0.26,0,-0.2,0.33,-0.12,0.1,0.07,0.05,-0.97,0.25,-0.07,0.03,-0.12,1.06,0.16,0.15,0,-0.05,0.04,0.64,-0.3,-0.26,-0.47,0.08,-0.19,0.09,0,0.08,0,0.19,0.01,-0.15,0.09,0.04,-0.13,0.28,0.58,0.33,0.01,-0.29,-0.38,-0.17,0.17,-0.05,0.01,-0.15,0.07,0.13,-0.17,-0.1
"YDL080C",-0.43,-0.64,-0.36,-0.14,-0.15,0.41,-0.25,-0.07,-0.52,0.17,-0.33,0.18,0.13,0.13,0.02,-0.05,-0.09,-0.02,-0.25,0.32,0.12,0.26,-0.22,-0.03,-0.17,-0.09,0.34,-0.31,0.25,-0.12,-0.06,-0.24,0.15,-0.19,0.08,-0.19,0.05,0.16,0.21,-0.19,0.39,0.57,0.17,-0.01,-0.24,-0.33,0.61,0.05,-0.1,0.24,0.24,-0.09,-0.45,0.08,0.28,-0.48,-0.05,0.16,0.03,-0.36,-0.17,,,-0.1,0.11,0.13,0.18,0,0.02,0.1,-0.07,-0.21,-0.13,0.01,-0.07,0.01,0.02
"YDL081C",-0.76,-0.69,0.24,0.18,-0.08,-0.19,-0.28,0.11,-0.24,0.03,-0.46,0.27,0.34,-0.34,0.39,-0.17,0.11,-0.05,0.17,0.46,-0.11,0.03,-0.88,-0.82,-0.48,-0.23,0.85,-0.09,0.92,-0.06,1.34,-0.1,0.58,0.28,0.6,-0.45,0.11,-0.23,-0.18,-0.01,1.04,-0.1,-0.2,-0.51,-0.86,-0.5,-0.01,-0.26,0.13,0.12,0.51,-0.37,0.09,-0.03,-0.34,,-2.65,0.5,-0.4,0.68,0.82,0.49,0.71,-0.3,-0.43,0.22,0.1,-0.02,0.28,0.5,0.35,0.01,0.18,0.15,-0.25,-0.47,-0.31
"YDL082W",-0.94,-0.51,-0.03,0.41,-0.28,-0.06,-0.22,-0.08,-0.77,-0.04,-0.49,-0.08,0.22,0.27,0.4,-0.03,0.18,-0.15,0.19,0.36,0.34,0.22,-0.18,0.26,0.21,0.04,0.27,-0.02,0.27,0.06,-0.38,0.06,0,0.06,-0.27,0.04,-0.44,-0.03,-0.25,0.07,-0.21,0.97,-0.15,0.01,-0.27,-0.1,-0.34,-0.36,0.21,-0.05,0.26,-0.54,-0.11,-0.21,-0.55,1.03,0.29,,-0.53,0.18,0.23,0.24,0.24,-0.91,-0.22,-0.2,0.21,0.27,0.36,0.32,0.59,0.07,0.07,-0.04,-0.24,-0.24,-0.03
"YDL083C",-0.58,-0.43,0.2,0.06,1.38,,0.17,,,-0.16,-0.26,,0.11,-0.05,,-0.2,-0.2,-0.39,,0.03,,-0.43,-0.74,-0.48,-0.18,-0.01,0.73,0.04,0.5,0.06,0.81,-0.03,0.22,0.34,0.26,-0.12,0.26,-0.27,-0.47,-0.01,0.62,0.14,-0.41,-0.31,-0.66,-0.29,-0.14,-0.06,0.26,0.21,0.51,-0.33,0.1,0.04,-0.33,,-2.74,0.39,-0.29,0.49,0.62,0.6,0.67,0.13,-0.05,0.34,1.36,0.43,0.87,0.68,0.25,-0.69,-0.66,-0.42,-1.31,-0.61,-0.33
"YDL084W",-0.25,0.58,-0.15,0.5,-0.42,-0.31,-0.37,0,-0.37,0.02,-0.35,-0.01,0.07,0.34,0.43,-0.01,-0.1,-0.06,0.15,0.48,0.13,0.38,-0.3,-0.24,-0.18,0.16,0.68,0.15,0.48,-0.2,-0.02,-0.4,-0.02,-0.28,0.18,-0.11,-0.01,0.34,-0.06,0.34,0.38,-0.09,0.19,-0.42,-0.26,-0.32,-0.69,-0.32,-0.22,-0.1,0.18,-0.28,0.15,0,-0.28,0.39,0.11,0.08,,0.15,0.37,0.27,0.2,-0.35,-0.12,-0.3,0.03,-0.36,0.2,0.11,0.3,0.12,0.23,0.07,0.09,0.09,-0.11
"YDL085W",-0.3,-0.29,-0.18,-0.43,-0.31,,0.08,0.16,-0.13,-0.01,,-0.03,,,0.4,,0.14,-0.53,,0.22,,,-0.09,-0.04,-0.41,-0.71,-0.07,-0.47,0.12,-0.29,0.7,-0.04,0.38,-0.03,0.37,-0.33,0.4,-0.37,0.26,-0.37,0.8,0.29,0.4,-0.17,-0.24,-0.07,0.76,-0.14,-0.48,0.03,-0.14,-0.64,-0.14,-0.03,-0.03,-0.09,-0.41,0.13,0.08,-0.09,0.03,0.7,0.48,0.49,0.67,0.56,0.53,-0.72,-0.03,0.04,-0.11,-0.44,-0.5,-0.77,-0.27,0.28,0.28
"YDL086W",-0.62,-0.86,-0.54,0.78,0.31,0.08,0.36,-0.01,0.29,-0.31,0.21,-0.27,0.18,0.12,0.17,-0.02,0.15,-0.43,-0.1,-0.33,-0.27,-0.14,0.37,-0.02,-0.22,-0.07,-0.27,0.23,-0.7,0.26,-0.04,0.27,-0.2,0.25,0.03,-0.1,-0.17,0.18,0.27,0.46,-0.01,-0.61,-0.27,0.08,0.03,0.23,0.48,0.53,-0.19,-0.3,-0.57,-0.75,-1.01,-0.28,-0.05,0.62,0.33,0.13,-0.19,0.42,,0.5,0.32,0.19,-0.27,0.07,-0.39,-0.27,-0.17,-0.54,0.23,0.1,0.19,-0.04,0.09,0.23,0.55
"YDL087C",-0.32,-0.47,-0.29,-0.1,-0.02,,0.01,,-0.02,-0.18,0.16,0.1,0.13,,0,-0.04,,0.03,0.01,-0.04,-0.02,-0.12,0.15,0.09,0.02,-0.14,0.09,-0.47,0.41,0.25,-0.06,0.14,-0.14,0.05,-0.45,-0.08,0,0.14,-0.26,-0.02,0.09,0.09,-0.33,0.28,0.14,0.02,0.67,0.18,-0.86,0.06,-0.22,0.06,,0.4,-0.51,0.1,-0.17,-0.27,-0.22,0.36,0.18,0.14,0.1,0.22,0.12,0.12,-0.16,-0.2,-0.36,-0.23,-0.21,0.14,0.08,0.12,0.17,-0.05,0.25
"YDL088C",-0.45,-0.32,-0.3,0.33,0.12,0.04,0.01,-0.04,-0.04,-0.22,0.09,-0.04,0.04,0.33,-0.02,-0.04,-0.04,-0.29,0.03,0,0.19,-0.14,0.4,0.38,0.25,0.33,-0.09,0.37,-0.63,0.35,-0.38,0.19,-0.42,-0.01,-0.34,0.07,-0.44,0.25,0.04,0.13,-0.3,-0.16,-0.47,0.38,-0.02,0.1,-0.16,0.11,-0.22,-0.19,-0.29,0.18,0.15,0.23,0.1,-0.19,0.05,-0.37,-0.03,,0.22,0.5,-0.08,0.4,-0.41,-0.08,-0.04,-0.14,-0.1,-0.38,0.11,0.24,0.26,-0.04,0.09,-0.02,0.1
"YDL089W",-0.15,-0.15,-0.38,-0.18,0.17,0.17,0.45,0.34,0.09,-0.34,0,-0.3,0.01,0.06,0.23,0.04,0.21,-0.15,-0.28,-0.26,-0.38,-0.07,-0.27,0.07,-0.04,-0.46,-0.06,-0.71,0.04,0.19,0.19,0.36,0.18,0.29,-0.77,-0.1,-0.24,-0.33,-0.1,-0.04,0.33,0.29,0.23,0.36,0.23,0.33,-0.05,-0.55,-0.11,-0.57,-0.46,-0.36,-0.21,-0.07,0.17,0.62,0.53,0.09,0.04,0.02,,0.57,0.37,0.24,0.16,-0.06,-0.33,-0.37,-0.24,-0.14,-0.22,0.31,0.04,0.08,0.32,0.27,-0.06
"YDL090C",-0.03,-0.01,-0.32,0.53,0.06,-0.22,-0.03,0.06,-0.01,-0.2,0.23,-0.28,-0.12,0.28,0.09,0.17,0.11,-0.1,-0.06,0.01,-0.06,0.06,-0.25,0.01,0.38,-0.22,-0.1,-0.01,-0.38,0.26,0.09,0.45,0.01,0.33,0.11,0.05,-0.65,-0.22,-0.27,0.03,-0.27,0.03,-0.38,0.51,0.3,0.19,-0.84,-0.65,0.1,-0.15,-0.31,-0.1,0.07,0.06,0.2,-0.16,0.46,0.26,0.16,0.27,,0.55,0.08,0,-0.45,0.08,-0.32,-0.1,-0.02,-0.24,0.18,0.19,0.18,0.15,0.03,-0.08,0.4
"YDL091C",0.04,0.11,-0.15,-0.01,-0.1,0.33,0.18,0.25,,,0.01,0.14,0.13,0.19,0.08,-0.27,-0.04,-0.46,0.07,-0.24,-0.19,-0.1,-0.06,-0.04,0.05,-0.24,-0.08,-0.5,-0.13,0.23,-0.22,0.19,-0.17,0.2,-0.5,0.09,-0.58,0.05,0.12,0.11,0.27,0.49,-0.33,0.25,0.33,0.45,-0.03,-0.21,0.04,-0.21,-0.31,0.12,0.12,-0.11,0.01,-0.06,0,-0.44,0.17,0.12,,0.66,0.12,1.6,0.25,-0.12,-0.34,-0.4,-0.24,-0.02,-0.18,0.03,-0.59,0.01,0.01,0.11,-0.14
"YDL092W",-0.58,-0.3,-0.38,0.29,0.13,0.07,-0.04,-0.11,0.14,-0.18,0.02,-0.16,0.13,0.35,-0.04,-0.14,0.2,-0.35,-0.02,-0.09,0.02,0.07,0.71,0.73,0.68,0.02,-0.03,0.11,-0.43,0.21,-0.34,0.32,-0.28,0.2,-0.23,0.14,-0.5,0.02,-0.01,0.2,-0.62,0.05,-0.95,0.51,-0.98,0.48,-0.09,-0.53,0.11,-0.27,0.24,-0.32,0.03,-0.07,-0.12,0.3,0.09,0.01,,-0.1,0.35,0.04,0.32,0.37,-0.31,0.06,-0.33,-0.01,-0.07,-0.33,0.13,-0.01,0.15,0.26,0.07,0.1,-0.09
"YDL093W",0.24,1.1,-0.45,-0.29,-0.33,-0.37,-0.03,0.27,0.65,0.23,0.36,-0.23,-0.29,-0.12,-0.17,0.28,0.46,0.16,0.07,-0.19,-0.46,-0.31,-0.09,0.16,0.69,0.11,0.36,-0.84,-0.24,-0.39,-0.01,0.13,0.48,0.5,0.21,0.37,-0.31,-0.17,0.37,-0.39,0.5,-0.2,-0.44,-0.09,-0.24,-0.47,-0.05,-0.69,0.61,0.79,0.52,0.05,0.09,-0.11,-0.12,-0.21,0.2,0.4,0.12,,-0.3,-0.48,-0.82,-0.56,0.36,-0.22,-0.39,-0.06,,0.32,0.08,0.29,0.04,0.09,0.23,-0.16,-0.04
