FBgn	Chr	Start	Stop	Strand
FBgn0034194	2R	12623710	12629224	+
FBgn0000079	2R	12633569	12635166	-
FBgn0034195	2R	12638002	12639090	-
FBgn0000078	2R	12639625	12641245	+
FBgn0034196	2R	12641270	12641886	-
FBgn0034197	2R	12643696	12645107	+
FBgn0034198	2R	12649020	12649708	+
FBgn0034199	2R	12651361	12651717	+
FBgn0034200	2R	12652104	12653695	+
FBgn0065048	2R	12658384	12658556	-
FBgn0050234	2R	12658828	12658909	-
FBgn0050235	2R	12660163	12660244	+
FBgn0065047	2R	12660517	12660689	+
FBgn0034201	2R	12669562	12670173	+
FBgn0034202	2R	12672037	12673053	-
FBgn0050458	2R	12673193	12673894	-
FBgn0050457	2R	12675017	12675688	-
FBgn0034204	2R	12680324	12681364	-
FBgn0034205	2R	12710066	12712027	+
FBgn0034206	2R	12760628	12761140	-
FBgn0046294	2R	12761387	12762246	-
FBgn0053197	2R	12780416	12890732	+
FBgn0050232	2R	12906637	12906708	-
FBgn0011879	2R	12907078	12907149	+
FBgn0010620	2R	12909459	12920036	+
FBgn0034210	2R	12920167	12922288	-
FBgn0050101	2R	12923258	12925063	-
FBgn0016697	2R	12927637	12928644	+
FBgn0021818	2R	12928834	12934462	-
FBgn0022029	2R	12935296	12940550	+
FBgn0034214	2R	12940526	12942342	-
FBgn0034215	2R	12942583	12944174	+
FBgn0025716	2R	12944212	12945798	-
FBgn0034217	2R	12945914	12947086	+
FBgn0027506	2R	12946973	12959801	-
FBgn0034218	2R	12955467	12957352	+
FBgn0034219	2R	12960169	12962091	-
FBgn0028956	2R	12963396	12967457	-
FBgn0034221	2R	12968282	12970594	+
FBgn0024196	2R	12971337	12971999	+
FBgn0028953	2R	12972544	12980443	+
FBgn0034223	2R	12980737	12984039	-
FBgn0022987	2R	12984495	12989516	+
FBgn0034224	2R	12990061	12990924	-
FBgn0034225	2R	12993987	12996991	+
FBgn0050104	2R	12999860	13008038	+
FBgn0050103	2R	13008625	13010862	+
FBgn0034228	2R	13017317	13017760	-
FBgn0061355	2R	13017591	13023510	+
FBgn0061354	2R	13017591	13023510	+
FBgn0034229	2R	13026386	13028722	+
FBgn0034230	2R	13029068	13032305	+
FBgn0034231	2R	13031888	13033046	-
FBgn0034232	2R	13033129	13033883	+
FBgn0022085	2R	13034543	13050512	-
FBgn0034237	2R	13051076	13053966	+
FBgn0034238	2R	13054185	13056696	+
FBgn0034239	2R	13056767	13059221	+
FBgn0028382	2R	13059755	13061264	+
FBgn0010409	2R	13061253	13062357	-
FBgn0034240	2R	13063673	13070517	+
FBgn0004377	2R	13071770	13078848	+
FBgn0034242	2R	13079203	13081143	+
FBgn0034243	2R	13080308	13083308	-
FBgn0040294	2R	13083601	13087185	+
FBgn0034245	2R	13087195	13087617	-
FBgn0016701	2R	13087745	13089842	+
FBgn0034246	2R	13089842	13096369	-
FBgn0034247	2R	13096775	13098872	-
FBgn0034248	2R	13100653	13100901	-
FBgn0034249	2R	13101534	13105745	-
FBgn0029079	2R	13105829	13106748	+
FBgn0050105	2R	13106668	13107311	-
FBgn0029006	2R	13107677	13118847	+
FBgn0034251	2R	13110130	13112255	+
FBgn0050333	2R	13119398	13119470	-
FBgn0050231	2R	13119634	13119706	+
FBgn0034253	2R	13119814	13153997	-
FBgn0004400	2R	13143352	13148376	-
FBgn0034255	2R	13148725	13148979	-
FBgn0050106	2R	13162395	13169159	-
FBgn0034258	2R	13180541	13184107	+
FBgn0050108	2R	13184268	13184680	+
FBgn0050109	2R	13185045	13185369	+
FBgn0034259	2R	13186174	13187498	-
FBgn0016059	2R	13187700	13198358	-
FBgn0034261	2R	13198460	13205693	+
FBgn0034260	2R	13199747	13201201	+
FBgn0034262	2R	13205137	13210214	-
FBgn0027872	2R	13210636	13213224	-
FBgn0045800	2R	13213960	13218185	+
FBgn0063381	2R	13214071	13214139	+
FBgn0063385	2R	13214565	13214651	+
FBgn0063377	2R	13214795	13214867	+
FBgn0063384	2R	13215083	13215168	+
FBgn0063383	2R	13215335	13215422	+
FBgn0063376	2R	13215604	13215676	+
FBgn0063382	2R	13215839	13215925	+
FBgn0063388	2R	13216092	13216160	+
FBgn0063375	2R	13216310	13216386	+
FBgn0063374	2R	13216552	13216627	+
FBgn0063380	2R	13216799	13216865	+
FBgn0063379	2R	13217035	13217101	+
FBgn0063378	2R	13217274	13217340	+
FBgn0063387	2R	13217500	13217571	+
FBgn0063373	2R	13217736	13217812	+
FBgn0063386	2R	13217965	13218031	+
FBgn0028494	2R	13218200	13234190	-
FBgn0034263	2R	13237202	13238244	+
FBgn0034264	2R	13238176	13239716	+
FBgn0034265	2R	13239890	13241663	-
FBgn0034266	2R	13241835	13243345	+
FBgn0034267	2R	13243828	13247852	+
FBgn0034268	2R	13248118	13249351	+
FBgn0034269	2R	13249272	13252127	-
FBgn0034270	2R	13252715	13254520	-
FBgn0034271	2R	13254756	13258838	+
FBgn0034272	2R	13259525	13260724	+
FBgn0003545	2R	13260358	13262974	-
FBgn0034274	2R	13263881	13264918	+
FBgn0034275	2R	13265161	13268077	+
FBgn0034276	2R	13268410	13271281	-
FBgn0022740	2R	13272280	13275380	+
FBgn0027572	2R	13275796	13279423	+
FBgn0034277	2R	13279435	13282070	-
FBgn0034278	2R	13282028	13282621	-
FBgn0034279	2R	13282671	13284769	-
FBgn0028740	2R	13285268	13287415	-
FBgn0028741	2R	13288827	13296775	-
FBgn0053981	2R	13288827	13296775	-
FBgn0067685	2R	13298714	13298736	-
FBgn0026309	2R	13301000	13303430	+
FBgn0026316	2R	13303270	13304272	-
FBgn0028744	2R	13304555	13307320	+
FBgn0028743	2R	13307745	13313008	+
FBgn0004586	2R	13317652	13356476	+
FBgn0050111	2R	13329208	13332587	+
FBgn0041585	2R	13358308	13375433	+
FBgn0015522	2R	13361564	13363307	+
FBgn0050323	2R	13368300	13369124	+
FBgn0034281	2R	13375662	13376376	+
FBgn0003701	2R	13376356	13380755	-
FBgn0034282	2R	13381882	13386873	-
FBgn0011589	2R	13388810	13440455	+
FBgn0050325	2R	13392468	13394720	-
FBgn0050110	2R	13395170	13397077	-
FBgn0000165	2R	13402076	13404835	-
FBgn0034283	2R	13408545	13409205	-
FBgn0034284	2R	13409941	13410441	+
FBgn0003140	2R	13470258	13471433	-
FBgn0034286	2R	13491254	13504906	-
FBgn0040740	2R	13506632	13507199	-
FBgn0034288	2R	13533505	13534625	+
FBgn0034289	2R	13535112	13537269	+
FBgn0034290	2R	13557767	13558607	-
FBgn0034291	2R	13558909	13559923	-
FBgn0034292	2R	13561299	13562325	-
FBgn0054005	2R	13562974	13563663	+
FBgn0034293	2R	13563904	13564461	-
FBgn0034294	2R	13565089	13566968	-
FBgn0034295	2R	13567410	13568927	-
FBgn0034296	2R	13570926	13571922	-
FBgn0034297	2R	13577781	13605532	+
FBgn0034298	2R	13607422	13608330	+
FBgn0034299	2R	13608591	13609570	-
FBgn0034300	2R	13609881	13615976	+
FBgn0034301	2R	13615913	13623249	-
FBgn0003520	2R	13632759	13640695	-
FBgn0028983	2R	13641168	13643082	+
FBgn0040465	2R	13643363	13645111	+
FBgn0001222	2R	13645157	13649494	-
FBgn0003044	2R	13650292	13654323	+
FBgn0003031	2R	13654941	13661101	+
FBgn0065075	2R	13658136	13658188	+
FBgn0062440	2R	13662160	13662857	-
FBgn0034304	2R	13663309	13666250	-
FBgn0000057	2R	13666567	13668709	+
FBgn0022238	2R	13669184	13673055	-
FBgn0034307	2R	13673130	13675173	+
FBgn0034308	2R	13675580	13679077	+
FBgn0034310	2R	13679551	13681992	-
FBgn0034311	2R	13682140	13683243	+
FBgn0027836	2R	13683271	13687470	-
FBgn0034312	2R	13688534	13689553	+
FBgn0034313	2R	13690141	13695032	-
FBgn0034314	2R	13695359	13697382	+
FBgn0034315	2R	13697292	13698976	-
FBgn0053958	2R	13699649	13706500	-
FBgn0034317	2R	13702585	13703152	+
FBgn0034318	2R	13703842	13704517	+
FBgn0050114	2R	13722618	13723161	+
FBgn0000658	2R	13747626	13751177	+
FBgn0003022	2R	13790466	13792056	-
FBgn0053198	2R	13792389	13793016	+
FBgn0010575	2R	13793843	13804715	-
FBgn0034321	2R	13804084	13809576	+
FBgn0034322	2R	13809774	13810461	+
FBgn0034323	2R	13810808	13811496	+
FBgn0034324	2R	13811933	13812614	+
FBgn0034325	2R	13813041	13813744	+
FBgn0034326	2R	13814321	13814897	+
FBgn0034327	2R	13817808	13818840	-
FBgn0040737	2R	13826685	13826861	+
FBgn0034328	2R	13897559	13898095	-
FBgn0034329	2R	13898815	13899251	+
FBgn0034330	2R	13899428	13899781	+
FBgn0034331	2R	13899774	13900451	-
FBgn0025583	2R	13901460	13901898	+
FBgn0040736	2R	13902983	13903370	+
FBgn0040735	2R	13903958	13904321	+
FBgn0040734	2R	13904821	13905110	+
FBgn0040733	2R	13905205	13905472	-
FBgn0064237	2R	13908525	13910145	+
FBgn0063499	2R	13911606	13912328	-
FBgn0034335	2R	13913253	13914087	+
FBgn0063498	2R	13914351	13915242	+
FBgn0063497	2R	13915580	13916332	+
FBgn0063496	2R	13918138	13918806	+
FBgn0063495	2R	13919497	13920165	+
FBgn0063494	2R	13920876	13921628	+
FBgn0063493	2R	13921798	13922551	+
FBgn0063492	2R	13922719	13923429	+
FBgn0063491	2R	13923874	13924698	+
FBgn0013983	2R	13924654	13928435	-
FBgn0027835	2R	13926869	13935987	+
FBgn0034345	2R	13936273	13941096	+
FBgn0034346	2R	13941293	13945196	+
FBgn0050118	2R	13945579	13955344	-
FBgn0026173	2R	13955820	13960395	+
FBgn0034350	2R	13961433	13962219	+
FBgn0013969	2R	13962218	13965903	-
FBgn0050120	2R	13962577	13964231	+
FBgn0034351	2R	13966168	13967601	+
FBgn0034352	2R	13967640	13969328	-
FBgn0028496	2R	13971825	14012874	-
FBgn0034354	2R	14018473	14019707	+
FBgn0034355	2R	14029439	14040297	+
FBgn0034356	2R	14042295	14050621	+
FBgn0003067	2R	14051630	14054282	+
FBgn0050119	2R	14054448	14055085	+
FBgn0034357	2R	14058784	14061871	+
FBgn0050115	2R	14068975	14076498	-
FBgn0050332	2R	14115913	14125917	-
FBgn0034360	2R	14127945	14129117	+
FBgn0034361	2R	14129071	14129879	-
FBgn0034362	2R	14129944	14130862	+
FBgn0034363	2R	14130851	14133181	+
FBgn0034364	2R	14131557	14132875	-
FBgn0034366	2R	14135319	14139911	-
FBgn0034365	2R	14136408	14137833	+
FBgn0034367	2R	14140130	14142607	+
FBgn0000566	2R	14142757	14144150	+
FBgn0034368	2R	14144727	14146761	-
FBgn0050122	2R	14147192	14154131	-
FBgn0050227	2R	14154420	14154491	+
FBgn0011868	2R	14154589	14154659	-
FBgn0053724	2R	14155057	14155665	+
FBgn0034371	2R	14155886	14173063	-
FBgn0034372	2R	14173278	14176411	-
FBgn0053136	2R	14179825	14180608	-
FBgn0023214	2R	14182384	14188395	-
FBgn0034374	2R	14193543	14201479	-
FBgn0034376	2R	14203479	14216380	+
FBgn0034377	2R	14211497	14212117	+
FBgn0034378	2R	14216822	14220675	+
FBgn0034379	2R	14220845	14223086	+
FBgn0034380	2R	14223010	14225723	-
FBgn0062961	2R	14226254	14226815	+
FBgn0053147	2R	14232992	14269389	+
FBgn0034381	2R	14242810	14245121	-
FBgn0053998	2R	14253355	14254065	+
FBgn0050121	2R	14253990	14256521	-
FBgn0034382	2R	14257526	14258479	-
FBgn0034383	2R	14258663	14259859	-
FBgn0034387	2R	14269986	14271900	+
FBgn0054020	2R	14271949	14273005	-
FBgn0034388	2R	14273161	14275935	-
FBgn0053148	2R	14282945	14285490	+
FBgn0050229	2R	14284994	14285075	+
FBgn0053146	2R	14286352	14289532	+
FBgn0034390	2R	14290531	14291904	-
FBgn0034391	2R	14298164	14309463	+
FBgn0034392	2R	14309481	14311539	-
FBgn0010651	2R	14312127	14318590	-
FBgn0034394	2R	14323199	14329872	-
FBgn0010551	2R	14334348	14336704	+
FBgn0034396	2R	14337041	14340918	-
FBgn0034397	2R	14346109	14347978	+
FBgn0034398	2R	14348382	14349618	-
FBgn0034399	2R	14350124	14351705	+
FBgn0034400	2R	14351679	14360726	-
FBgn0034401	2R	14361721	14365542	-
FBgn0034402	2R	14365724	14366827	+
FBgn0034403	2R	14366820	14367611	-
FBgn0010053	2R	14368285	14369972	-
FBgn0034405	2R	14370621	14372801	-
FBgn0034406	2R	14375229	14376934	-
FBgn0004240	2R	14380628	14381627	+
FBgn0034407	2R	14382253	14382760	+
FBgn0034408	2R	14393257	14473773	+
FBgn0028669	2R	14423863	14426577	-
FBgn0014269	2R	14484268	14486014	-
FBgn0041702	2R	14486172	14487301	-
FBgn0034410	2R	14487807	14492125	+
FBgn0034411	2R	14492586	14494013	+
FBgn0034412	2R	14502204	14523807	+
FBgn0004572	2R	14537777	14543840	-
FBgn0050126	2R	14543898	14544119	-
FBgn0034413	2R	14550355	14550726	-
FBgn0034415	2R	14570094	14570787	-
FBgn0034416	2R	14574284	14575933	+
FBgn0004168	2R	14582022	14636821	+
FBgn0050125	2R	14609130	14611037	-
FBgn0034417	2R	14637093	14644104	-
FBgn0027535	2R	14644457	14648581	+
FBgn0034418	2R	14648580	14659004	-
FBgn0034419	2R	14652240	14655901	+
FBgn0000578	2R	14656498	14677482	+
FBgn0034420	2R	14679010	14693091	+
FBgn0034421	2R	14693617	14742063	+
FBgn0034422	2R	14742193	14743480	+
FBgn0010434	2R	14743928	14758621	+
FBgn0004003	2R	14764624	14765777	+
FBgn0053454	2R	14765890	14766529	-
FBgn0053453	2R	14767408	14768048	-
FBgn0034423	2R	14774777	14777102	+
FBgn0003254	2R	14790589	14796259	+
FBgn0034425	2R	14796281	14798834	-
FBgn0034426	2R	14799414	14800082	-
FBgn0034427	2R	14800436	14801461	-
FBgn0034428	2R	14802885	14803514	+
FBgn0034429	2R	14803989	14804663	+
FBgn0013954	2R	14804968	14805827	+
FBgn0034430	2R	14805967	14807066	-
FBgn0034431	2R	14807431	14818887	+
FBgn0034432	2R	14820003	14822047	+
FBgn0034433	2R	14822303	14825555	-
FBgn0034434	2R	14827005	14840352	-
FBgn0050127	2R	14840736	14845953	-
FBgn0054045	2R	14847571	14850051	+
FBgn0034435	2R	14856672	14860425	+
FBgn0034436	2R	14872594	14877236	+
FBgn0034437	2R	14878508	14882157	+
FBgn0034438	2R	14882104	14888105	-
FBgn0034439	2R	14890588	14895040	+
FBgn0034440	2R	14896479	14899836	+
FBgn0034441	2R	14900787	14904187	+
FBgn0034442	2R	14905044	14906706	+
FBgn0017539	2R	14906719	14910811	-
FBgn0034443	2R	14911075	14911623	-
FBgn0004873	2R	14912198	14939812	-
FBgn0028981	2R	14929461	14929542	+
FBgn0050225	2R	14929708	14929780	+
FBgn0050326	2R	14930134	14930206	+
FBgn0012051	2R	14939936	14945426	+
FBgn0020440	2R	14945513	14952105	-
FBgn0040273	2R	14952347	14956762	+
FBgn0013325	2R	14957212	14958382	+
FBgn0034446	2R	14959080	14959859	+
FBgn0023211	2R	14959944	14961139	-
FBgn0003887	2R	14962182	14966480	-
FBgn0034447	2R	14967372	14970397	+
FBgn0026193	2R	14971037	14999337	+
FBgn0002716	2R	14971058	14974387	+
FBgn0034451	2R	15000354	15001698	-
FBgn0034452	2R	15001907	15006599	-
FBgn0026378	2R	15006954	15008988	+
FBgn0034453	2R	15009159	15011730	-
FBgn0034454	2R	15012617	15015236	+
FBgn0040732	2R	15015157	15016159	-
FBgn0034455	2R	15017942	15019131	+
FBgn0050223	2R	15021202	15021273	-
FBgn0034456	2R	15023030	15024307	+
FBgn0034457	2R	15024631	15026334	+
FBgn0034458	2R	15026536	15028434	-
FBgn0050130	2R	15028828	15030482	-
FBgn0003435	2R	15044744	15146365	-
FBgn0053535	2R	15079736	15079807	-
FBgn0034459	2R	15108683	15111606	+
FBgn0034460	2R	15151523	15152161	+
FBgn0034461	2R	15157901	15158476	+
FBgn0034462	2R	15161615	15162431	-
FBgn0034463	2R	15172646	15174450	+
FBgn0046817	2R	15175585	15175606	-
FBgn0046818	2R	15175737	15175758	-
FBgn0046819	2R	15175875	15175896	-
FBgn0046820	2R	15176063	15176085	-
FBgn0046821	2R	15176164	15176184	-
FBgn0082173	2R	15176196	15176219	-
FBgn0067706	2R	15176298	15176320	-
FBgn0046822	2R	15176463	15176484	-
FBgn0067695	2R	15176573	15176594	-
FBgn0034464	2R	15177299	15178601	+
FBgn0015949	2R	15178780	15184683	-
FBgn0028372	2R	15185482	15188340	+
FBgn0040730	2R	15195882	15196139	-
FBgn0034467	2R	15200469	15202941	-
FBgn0040729	2R	15205708	15205869	+
FBgn0034468	2R	15212586	15213374	+
FBgn0046880	2R	15213705	15214180	-
FBgn0046879	2R	15215036	15215931	-
FBgn0034470	2R	15217993	15218658	-
FBgn0034471	2R	15227208	15227824	+
FBgn0043533	2R	15228282	15228713	+
FBgn0034472	2R	15228939	15229736	+
FBgn0050215	2R	15230428	15230501	+
FBgn0050452	2R	15240483	15240554	-
FBgn0050218	2R	15240768	15240839	+
FBgn0011850	2R	15241005	15241076	-
FBgn0065076	2R	15241961	15242015	-
FBgn0011849	2R	15242323	15242394	-
FBgn0011848	2R	15242844	15242915	-
FBgn0050454	2R	15243051	15243122	-
FBgn0050220	2R	15243750	15243821	+
FBgn0050449	2R	15244145	15244216	+
FBgn0053452	2R	15244425	15244559	-
FBgn0053451	2R	15244784	15244918	-
FBgn0053450	2R	15245167	15245301	-
FBgn0053449	2R	15245533	15245667	-
FBgn0053448	2R	15245906	15246040	-
FBgn0053447	2R	15246272	15246406	-
FBgn0053446	2R	15246631	15246765	-
FBgn0053445	2R	15247033	15247167	-
FBgn0053444	2R	15247413	15247547	-
FBgn0053443	2R	15247789	15247923	-
FBgn0053442	2R	15248151	15248285	-
FBgn0053441	2R	15248534	15248668	-
FBgn0053440	2R	15248900	15249034	-
FBgn0053439	2R	15249259	15249393	-
FBgn0053438	2R	15249635	15249769	-
FBgn0053437	2R	15250004	15250138	-
FBgn0053436	2R	15250373	15250507	-
FBgn0053435	2R	15250742	15250876	-
FBgn0053434	2R	15251111	15251245	-
FBgn0053433	2R	15251480	15251614	-
FBgn0053432	2R	15251849	15251983	-
FBgn0053431	2R	15252218	15252352	-
FBgn0053430	2R	15252587	15252721	-
FBgn0053429	2R	15252949	15253083	-
FBgn0053428	2R	15253315	15253449	-
FBgn0053427	2R	15253681	15253815	-
FBgn0053426	2R	15254057	15254191	-
FBgn0053425	2R	15254433	15254567	-
FBgn0053424	2R	15254799	15254933	-
FBgn0053423	2R	15255168	15255302	-
FBgn0053422	2R	15255527	15255661	-
FBgn0053421	2R	15255903	15256037	-
FBgn0053420	2R	15256269	15256403	-
FBgn0053419	2R	15256631	15256765	-
FBgn0053418	2R	15257000	15257134	-
FBgn0053417	2R	15257366	15257500	-
FBgn0053416	2R	15257739	15257881	-
FBgn0053415	2R	15258116	15258250	-
FBgn0053414	2R	15258492	15258626	-
FBgn0053413	2R	15258858	15258992	-
FBgn0053412	2R	15259224	15259358	-
FBgn0053411	2R	15259583	15259717	-
FBgn0053410	2R	15259959	15260093	-
FBgn0053409	2R	15260325	15260459	-
FBgn0053408	2R	15260691	15260825	-
FBgn0053407	2R	15261064	15261198	-
FBgn0053406	2R	15261437	15261571	-
FBgn0053405	2R	15261806	15261939	-
FBgn0053404	2R	15262181	15262315	-
FBgn0053403	2R	15262540	15262674	-
FBgn0053402	2R	15262906	15263040	-
FBgn0053401	2R	15263268	15263402	-
FBgn0053400	2R	15263637	15263771	-
FBgn0053399	2R	15264006	15264140	-
FBgn0053398	2R	15264375	15264509	-
FBgn0053397	2R	15264741	15264875	-
FBgn0053396	2R	15265114	15265248	-
FBgn0053395	2R	15265483	15265617	-
FBgn0053394	2R	15265852	15265986	-
FBgn0053393	2R	15266221	15266355	-
FBgn0053392	2R	15266590	15266724	-
FBgn0053391	2R	15266959	15267092	-
FBgn0053390	2R	15267320	15267454	-
FBgn0053389	2R	15267679	15267813	-
FBgn0053388	2R	15268052	15268186	-
FBgn0053387	2R	15268421	15268555	-
FBgn0053386	2R	15268790	15268924	-
FBgn0053385	2R	15269159	15269293	-
FBgn0053384	2R	15269528	15269662	-
FBgn0053383	2R	15269897	15270031	-
FBgn0053382	2R	15270266	15270400	-
FBgn0053381	2R	15270635	15270769	-
FBgn0053380	2R	15271004	15271138	-
FBgn0053379	2R	15271373	15271507	-
FBgn0053378	2R	15271742	15271876	-
FBgn0053377	2R	15272118	15272252	-
FBgn0053376	2R	15272487	15272621	-
FBgn0053375	2R	15272856	15272990	-
FBgn0053374	2R	15273225	15273359	-
FBgn0053373	2R	15273598	15273732	-
FBgn0053372	2R	15273964	15274098	-
FBgn0053371	2R	15274337	15274473	-
FBgn0053370	2R	15274705	15274839	-
FBgn0053369	2R	15275078	15275212	-
FBgn0053368	2R	15275454	15275588	-
FBgn0053367	2R	15275830	15275964	-
FBgn0053366	2R	15276206	15276340	-
FBgn0053365	2R	15276565	15276699	-
FBgn0053364	2R	15276931	15277065	-
FBgn0053363	2R	15277290	15277433	-
FBgn0053362	2R	15277665	15277799	-
FBgn0053361	2R	15278038	15278172	-
FBgn0053360	2R	15278407	15278541	-
FBgn0053359	2R	15278776	15278910	-
FBgn0053358	2R	15279152	15279286	-
FBgn0053357	2R	15279511	15279645	-
FBgn0053356	2R	15279884	15280026	-
FBgn0053355	2R	15280272	15280406	-
FBgn0053354	2R	15280638	15280772	-
FBgn0053353	2R	15281007	15281141	-
FBgn0034473	2R	15284324	15286096	-
FBgn0034474	2R	15298420	15298883	-
FBgn0011897	2R	15317454	15317526	+
FBgn0034475	2R	15330440	15330902	+
FBgn0034476	2R	15341768	15346108	+
FBgn0043532	2R	15382979	15383459	+
FBgn0034477	2R	15393691	15395783	-
FBgn0050447	2R	15462179	15462720	+
FBgn0034478	2R	15466318	15466714	+
FBgn0034479	2R	15495932	15499620	+
FBgn0050212	2R	15515159	15515231	-
FBgn0053538	2R	15515682	15515754	+
FBgn0034480	2R	15518482	15519850	-
FBgn0004364	2R	15626374	15631795	+
FBgn0034481	2R	15661010	15662092	+
FBgn0034482	2R	15718887	15719573	+
FBgn0034483	2R	15726467	15727482	-
FBgn0011869	2R	15744344	15744414	+
FBgn0034484	2R	15746694	15749796	+
FBgn0011870	2R	15747660	15747730	+
FBgn0034485	2R	15751098	15754064	+
FBgn0034486	2R	15753433	15753963	-
FBgn0034487	2R	15754850	15757745	+
FBgn0034488	2R	15757614	15760262	-
FBgn0034489	2R	15760634	15762436	-
FBgn0034490	2R	15762993	15765089	-
FBgn0025720	2R	15768655	15772244	-
FBgn0034491	2R	15772515	15776599	+
FBgn0005655	2R	15776615	15777720	-
FBgn0003114	2R	15777821	15778582	-
FBgn0010411	2R	15778846	15779757	+
FBgn0034493	2R	15779795	15785648	+
FBgn0034494	2R	15786514	15789388	-
FBgn0034495	2R	15789549	15791006	+
FBgn0034496	2R	15790833	15793859	-
FBgn0034497	2R	15793919	15795987	-
FBgn0034498	2R	15796492	15801942	-
FBgn0034499	2R	15803218	15806806	-
FBgn0026136	2R	15804490	15805414	+
FBgn0034500	2R	15819378	15823528	-
FBgn0027529	2R	15821154	15840840	+
FBgn0034501	2R	15823575	15831773	-
FBgn0034502	2R	15832271	15833833	+
FBgn0034503	2R	15840704	15841669	-
FBgn0034504	2R	15842130	15845587	+
FBgn0034505	2R	15856891	15857637	+
FBgn0034506	2R	15858708	15860742	+
FBgn0042198	2R	15861899	15862459	+
FBgn0034507	2R	15869077	15869886	-
FBgn0053041	2R	15939198	15985827	+
FBgn0050143	2R	15986404	15991779	+
FBgn0034509	2R	16018419	16019069	+
FBgn0043534	2R	16019129	16019617	+
FBgn0043535	2R	16020032	16020592	+
FBgn0034510	2R	16027603	16027975	-
FBgn0034511	2R	16041190	16041689	+
FBgn0050151	2R	16043367	16044327	-
FBgn0050154	2R	16048237	16048799	+
FBgn0034512	2R	16049373	16050218	+
FBgn0034513	2R	16051441	16053125	+
FBgn0034514	2R	16053811	16054128	-
FBgn0034515	2R	16054465	16055264	-
FBgn0050148	2R	16061893	16062544	-
FBgn0050145	2R	16062679	16063154	-
FBgn0043536	2R	16063485	16063961	-
FBgn0034517	2R	16064116	16064948	-
FBgn0034518	2R	16065196	16066949	-
FBgn0034519	2R	16065196	16066949	-
FBgn0034520	2R	16071722	16074816	+
FBgn0034521	2R	16074019	16077190	-
FBgn0028622	2R	16077898	16096991	-
FBgn0067694	2R	16098629	16098650	-
FBgn0067693	2R	16098751	16098772	-
FBgn0067692	2R	16098921	16098942	-
FBgn0067691	2R	16099057	16099078	-
FBgn0034523	2R	16101082	16102070	-
FBgn0015907	2R	16102368	16121717	+
FBgn0050153	2R	16111712	16112704	+
FBgn0046816	2R	16120944	16120966	+
FBgn0050147	2R	16121744	16133077	-
FBgn0034527	2R	16133366	16135944	+
FBgn0034528	2R	16135777	16138166	-
FBgn0034529	2R	16138479	16143173	+
FBgn0034530	2R	16143047	16148336	-
FBgn0050149	2R	16148739	16155549	-
FBgn0034532	2R	16151255	16153286	+
FBgn0034534	2R	16155834	16156537	+
FBgn0034535	2R	16156665	16157280	+
FBgn0061362	2R	16157323	16158643	-
FBgn0061361	2R	16157324	16158643	-
FBgn0034537	2R	16158901	16160734	+
FBgn0034538	2R	16168078	16169954	-
FBgn0034539	2R	16170717	16171355	-
FBgn0034540	2R	16172103	16175370	+
FBgn0050155	2R	16172754	16172825	+
FBgn0050211	2R	16172967	16173038	-
FBgn0034541	2R	16176612	16177290	+
FBgn0034542	2R	16177337	16182148	-
FBgn0000615	2R	16182288	16186008	-
FBgn0034543	2R	16186066	16187417	+
FBgn0041240	2R	16200468	16201773	-
FBgn0034545	2R	16207733	16208472	+
FBgn0040726	2R	16213713	16263514	+
FBgn0034546	2R	16242687	16245473	-
FBgn0034548	2R	16288592	16289976	+
FBgn0034550	2R	16295899	16297692	-
FBgn0034551	2R	16300549	16301268	+
FBgn0011674	2R	16328848	16343646	-
FBgn0016984	2R	16334993	16339996	-
FBgn0034552	2R	16355562	16357501	-
FBgn0034553	2R	16357728	16359703	-
FBgn0034554	2R	16373683	16374558	+
FBgn0040653	2R	16376418	16376903	-
FBgn0067905	2R	16378007	16378211	+
FBgn0050295	2R	16378388	16386050	+
FBgn0034558	2R	16387631	16389987	+
FBgn0015524	2R	16392074	16405165	-
FBgn0034560	2R	16417286	16418390	+
FBgn0020617	2R	16424362	16444614	+
FBgn0000044	2R	16451610	16454022	+
FBgn0065059	2R	16453552	16453647	+
FBgn0053704	2R	16457684	16458665	+
FBgn0008636	2R	16462246	16468491	-
FBgn0034563	2R	16480802	16481574	-
FBgn0034564	2R	16484638	16485179	+
FBgn0034565	2R	16485310	16485819	-
FBgn0034566	2R	16486926	16491625	+
FBgn0034567	2R	16491416	16494077	-
FBgn0034568	2R	16494415	16498753	-
FBgn0034569	2R	16499858	16501844	-
FBgn0003150	2R	16502484	16503700	+
FBgn0034570	2R	16504223	16514225	+
FBgn0050291	2R	16515337	16517155	-
FBgn0001133	2R	16517348	16519501	-
FBgn0034572	2R	16519554	16523210	+
FBgn0034573	2R	16523169	16525028	-
FBgn0050296	2R	16525367	16532492	+
FBgn0034576	2R	16532662	16533672	+
FBgn0003391	2R	16558184	16564741	-
FBgn0034577	2R	16565373	16567465	+
FBgn0034578	2R	16567481	16568050	-
FBgn0034579	2R	16568406	16569173	+
FBgn0034580	2R	16569228	16570794	+
FBgn0050293	2R	16570760	16572545	-
FBgn0022700	2R	16572962	16574669	-
FBgn0034582	2R	16575564	16576854	-
FBgn0034583	2R	16577645	16580367	-
FBgn0003748	2R	16581607	16595811	+
FBgn0034585	2R	16595965	16598584	-
FBgn0034586	2R	16600082	16601502	+
